시간,역명_cleaned,호선,상하구분,혼잡도,role,stinConsOrdr,left_transfer,left_dist,right_transfer,right_dist
5.5,청량리,1,상선,7.2,other,28,,,동묘앞,3.0
5.5,청량리,1,하선,20.3,other,28,,,동묘앞,3.0
6.0,청량리,1,상선,6.9,other,28,,,동묘앞,3.0
6.0,청량리,1,하선,18.3,other,28,,,동묘앞,3.0
6.5,청량리,1,상선,4.5,other,28,,,동묘앞,3.0
6.5,청량리,1,하선,27.4,other,28,,,동묘앞,3.0
7.0,청량리,1,상선,8.3,other,28,,,동묘앞,3.0
7.0,청량리,1,하선,43.8,other,28,,,동묘앞,3.0
7.5,청량리,1,상선,10.4,other,28,,,동묘앞,3.0
7.5,청량리,1,하선,67.4,other,28,,,동묘앞,3.0
8.0,청량리,1,상선,18.6,other,28,,,동묘앞,3.0
8.0,청량리,1,하선,64.6,other,28,,,동묘앞,3.0
8.5,청량리,1,상선,14.6,other,28,,,동묘앞,3.0
8.5,청량리,1,하선,61.1,other,28,,,동묘앞,3.0
9.0,청량리,1,상선,12.4,other,28,,,동묘앞,3.0
9.0,청량리,1,하선,50.1,other,28,,,동묘앞,3.0
9.5,청량리,1,상선,16.0,other,28,,,동묘앞,3.0
9.5,청량리,1,하선,34.2,other,28,,,동묘앞,3.0
10.0,청량리,1,상선,15.9,other,28,,,동묘앞,3.0
10.0,청량리,1,하선,32.3,other,28,,,동묘앞,3.0
10.5,청량리,1,상선,17.7,other,28,,,동묘앞,3.0
10.5,청량리,1,하선,25.5,other,28,,,동묘앞,3.0
11.0,청량리,1,상선,17.2,other,28,,,동묘앞,3.0
11.0,청량리,1,하선,19.1,other,28,,,동묘앞,3.0
11.5,청량리,1,상선,14.7,other,28,,,동묘앞,3.0
11.5,청량리,1,하선,26.5,other,28,,,동묘앞,3.0
12.0,청량리,1,상선,17.2,other,28,,,동묘앞,3.0
12.0,청량리,1,하선,24.9,other,28,,,동묘앞,3.0
12.5,청량리,1,상선,17.2,other,28,,,동묘앞,3.0
12.5,청량리,1,하선,24.7,other,28,,,동묘앞,3.0
13.0,청량리,1,상선,22.3,other,28,,,동묘앞,3.0
13.0,청량리,1,하선,25.0,other,28,,,동묘앞,3.0
13.5,청량리,1,상선,18.1,other,28,,,동묘앞,3.0
13.5,청량리,1,하선,26.3,other,28,,,동묘앞,3.0
14.0,청량리,1,상선,18.4,other,28,,,동묘앞,3.0
14.0,청량리,1,하선,18.7,other,28,,,동묘앞,3.0
14.5,청량리,1,상선,21.2,other,28,,,동묘앞,3.0
14.5,청량리,1,하선,21.8,other,28,,,동묘앞,3.0
15.0,청량리,1,상선,20.2,other,28,,,동묘앞,3.0
15.0,청량리,1,하선,30.7,other,28,,,동묘앞,3.0
15.5,청량리,1,상선,28.3,other,28,,,동묘앞,3.0
15.5,청량리,1,하선,26.3,other,28,,,동묘앞,3.0
16.0,청량리,1,상선,30.5,other,28,,,동묘앞,3.0
16.0,청량리,1,하선,21.3,other,28,,,동묘앞,3.0
16.5,청량리,1,상선,29.2,other,28,,,동묘앞,3.0
16.5,청량리,1,하선,27.2,other,28,,,동묘앞,3.0
17.0,청량리,1,상선,32.3,other,28,,,동묘앞,3.0
17.0,청량리,1,하선,30.5,other,28,,,동묘앞,3.0
17.5,청량리,1,상선,47.1,other,28,,,동묘앞,3.0
17.5,청량리,1,하선,22.7,other,28,,,동묘앞,3.0
18.0,청량리,1,상선,65.1,other,28,,,동묘앞,3.0
18.0,청량리,1,하선,31.1,other,28,,,동묘앞,3.0
18.5,청량리,1,상선,62.7,other,28,,,동묘앞,3.0
18.5,청량리,1,하선,17.2,other,28,,,동묘앞,3.0
19.0,청량리,1,상선,42.8,other,28,,,동묘앞,3.0
19.0,청량리,1,하선,13.5,other,28,,,동묘앞,3.0
19.5,청량리,1,상선,29.7,other,28,,,동묘앞,3.0
19.5,청량리,1,하선,13.4,other,28,,,동묘앞,3.0
20.0,청량리,1,상선,24.8,other,28,,,동묘앞,3.0
20.0,청량리,1,하선,10.6,other,28,,,동묘앞,3.0
20.5,청량리,1,상선,26.1,other,28,,,동묘앞,3.0
20.5,청량리,1,하선,10.4,other,28,,,동묘앞,3.0
21.0,청량리,1,상선,28.2,other,28,,,동묘앞,3.0
21.0,청량리,1,하선,11.9,other,28,,,동묘앞,3.0
21.5,청량리,1,상선,24.5,other,28,,,동묘앞,3.0
21.5,청량리,1,하선,10.7,other,28,,,동묘앞,3.0
22.0,청량리,1,상선,23.0,other,28,,,동묘앞,3.0
22.0,청량리,1,하선,9.4,other,28,,,동묘앞,3.0
22.5,청량리,1,상선,22.2,other,28,,,동묘앞,3.0
22.5,청량리,1,하선,8.7,other,28,,,동묘앞,3.0
23.0,청량리,1,상선,21.7,other,28,,,동묘앞,3.0
23.0,청량리,1,하선,7.4,other,28,,,동묘앞,3.0
23.5,청량리,1,상선,14.9,other,28,,,동묘앞,3.0
23.5,청량리,1,하선,7.0,other,28,,,동묘앞,3.0
0.0,청량리,1,상선,8.5,other,28,,,동묘앞,3.0
0.0,청량리,1,하선,2.3,other,28,,,동묘앞,3.0
0.5,청량리,1,상선,0.0,other,28,,,동묘앞,3.0
0.5,청량리,1,하선,0.1,other,28,,,동묘앞,3.0
5.5,제기동,1,상선,7.6,other,29,,,동묘앞,2.0
5.5,제기동,1,하선,20.6,other,29,,,동묘앞,2.0
6.0,제기동,1,상선,8.7,other,29,,,동묘앞,2.0
6.0,제기동,1,하선,19.3,other,29,,,동묘앞,2.0
6.5,제기동,1,상선,6.5,other,29,,,동묘앞,2.0
6.5,제기동,1,하선,28.4,other,29,,,동묘앞,2.0
7.0,제기동,1,상선,8.7,other,29,,,동묘앞,2.0
7.0,제기동,1,하선,44.1,other,29,,,동묘앞,2.0
7.5,제기동,1,상선,12.9,other,29,,,동묘앞,2.0
7.5,제기동,1,하선,60.1,other,29,,,동묘앞,2.0
8.0,제기동,1,상선,21.4,other,29,,,동묘앞,2.0
8.0,제기동,1,하선,71.7,other,29,,,동묘앞,2.0
8.5,제기동,1,상선,18.1,other,29,,,동묘앞,2.0
8.5,제기동,1,하선,64.0,other,29,,,동묘앞,2.0
9.0,제기동,1,상선,16.7,other,29,,,동묘앞,2.0
9.0,제기동,1,하선,51.2,other,29,,,동묘앞,2.0
9.5,제기동,1,상선,24.6,other,29,,,동묘앞,2.0
9.5,제기동,1,하선,35.1,other,29,,,동묘앞,2.0
10.0,제기동,1,상선,15.1,other,29,,,동묘앞,2.0
10.0,제기동,1,하선,32.3,other,29,,,동묘앞,2.0
10.5,제기동,1,상선,21.6,other,29,,,동묘앞,2.0
10.5,제기동,1,하선,26.3,other,29,,,동묘앞,2.0
11.0,제기동,1,상선,22.4,other,29,,,동묘앞,2.0
11.0,제기동,1,하선,24.1,other,29,,,동묘앞,2.0
11.5,제기동,1,상선,16.1,other,29,,,동묘앞,2.0
11.5,제기동,1,하선,24.0,other,29,,,동묘앞,2.0
12.0,제기동,1,상선,19.8,other,29,,,동묘앞,2.0
12.0,제기동,1,하선,28.1,other,29,,,동묘앞,2.0
12.5,제기동,1,상선,20.6,other,29,,,동묘앞,2.0
12.5,제기동,1,하선,30.9,other,29,,,동묘앞,2.0
13.0,제기동,1,상선,25.7,other,29,,,동묘앞,2.0
13.0,제기동,1,하선,23.5,other,29,,,동묘앞,2.0
13.5,제기동,1,상선,22.2,other,29,,,동묘앞,2.0
13.5,제기동,1,하선,30.5,other,29,,,동묘앞,2.0
14.0,제기동,1,상선,21.5,other,29,,,동묘앞,2.0
14.0,제기동,1,하선,22.2,other,29,,,동묘앞,2.0
14.5,제기동,1,상선,24.9,other,29,,,동묘앞,2.0
14.5,제기동,1,하선,29.5,other,29,,,동묘앞,2.0
15.0,제기동,1,상선,25.9,other,29,,,동묘앞,2.0
15.0,제기동,1,하선,31.4,other,29,,,동묘앞,2.0
15.5,제기동,1,상선,26.8,other,29,,,동묘앞,2.0
15.5,제기동,1,하선,31.3,other,29,,,동묘앞,2.0
16.0,제기동,1,상선,35.5,other,29,,,동묘앞,2.0
16.0,제기동,1,하선,22.2,other,29,,,동묘앞,2.0
16.5,제기동,1,상선,31.4,other,29,,,동묘앞,2.0
16.5,제기동,1,하선,34.0,other,29,,,동묘앞,2.0
17.0,제기동,1,상선,40.6,other,29,,,동묘앞,2.0
17.0,제기동,1,하선,34.8,other,29,,,동묘앞,2.0
17.5,제기동,1,상선,54.3,other,29,,,동묘앞,2.0
17.5,제기동,1,하선,26.2,other,29,,,동묘앞,2.0
18.0,제기동,1,상선,72.6,other,29,,,동묘앞,2.0
18.0,제기동,1,하선,37.0,other,29,,,동묘앞,2.0
18.5,제기동,1,상선,72.9,other,29,,,동묘앞,2.0
18.5,제기동,1,하선,20.2,other,29,,,동묘앞,2.0
19.0,제기동,1,상선,45.9,other,29,,,동묘앞,2.0
19.0,제기동,1,하선,15.6,other,29,,,동묘앞,2.0
19.5,제기동,1,상선,32.7,other,29,,,동묘앞,2.0
19.5,제기동,1,하선,14.3,other,29,,,동묘앞,2.0
20.0,제기동,1,상선,30.0,other,29,,,동묘앞,2.0
20.0,제기동,1,하선,12.8,other,29,,,동묘앞,2.0
20.5,제기동,1,상선,26.0,other,29,,,동묘앞,2.0
20.5,제기동,1,하선,11.2,other,29,,,동묘앞,2.0
21.0,제기동,1,상선,34.8,other,29,,,동묘앞,2.0
21.0,제기동,1,하선,12.6,other,29,,,동묘앞,2.0
21.5,제기동,1,상선,27.5,other,29,,,동묘앞,2.0
21.5,제기동,1,하선,10.9,other,29,,,동묘앞,2.0
22.0,제기동,1,상선,25.7,other,29,,,동묘앞,2.0
22.0,제기동,1,하선,10.2,other,29,,,동묘앞,2.0
22.5,제기동,1,상선,25.4,other,29,,,동묘앞,2.0
22.5,제기동,1,하선,9.3,other,29,,,동묘앞,2.0
23.0,제기동,1,상선,24.2,other,29,,,동묘앞,2.0
23.0,제기동,1,하선,7.5,other,29,,,동묘앞,2.0
23.5,제기동,1,상선,16.8,other,29,,,동묘앞,2.0
23.5,제기동,1,하선,7.0,other,29,,,동묘앞,2.0
0.0,제기동,1,상선,11.6,other,29,,,동묘앞,2.0
0.0,제기동,1,하선,2.2,other,29,,,동묘앞,2.0
0.5,제기동,1,상선,0.0,other,29,,,동묘앞,2.0
0.5,제기동,1,하선,0.2,other,29,,,동묘앞,2.0
5.5,신설동,1,상선,6.7,other,30,왕십리,1.0,신당,1.0
5.5,신설동,1,하선,21.4,other,30,왕십리,1.0,신당,1.0
6.0,신설동,1,상선,11.2,other,30,왕십리,1.0,신당,1.0
6.0,신설동,1,하선,20.5,other,30,왕십리,1.0,신당,1.0
6.5,신설동,1,상선,7.2,other,30,왕십리,1.0,신당,1.0
6.5,신설동,1,하선,32.8,other,30,왕십리,1.0,신당,1.0
7.0,신설동,1,상선,9.6,other,30,왕십리,1.0,신당,1.0
7.0,신설동,1,하선,43.4,other,30,왕십리,1.0,신당,1.0
7.5,신설동,1,상선,14.8,other,30,왕십리,1.0,신당,1.0
7.5,신설동,1,하선,63.2,other,30,왕십리,1.0,신당,1.0
8.0,신설동,1,상선,23.3,other,30,왕십리,1.0,신당,1.0
8.0,신설동,1,하선,77.8,other,30,왕십리,1.0,신당,1.0
8.5,신설동,1,상선,20.5,other,30,왕십리,1.0,신당,1.0
8.5,신설동,1,하선,66.1,other,30,왕십리,1.0,신당,1.0
9.0,신설동,1,상선,20.0,other,30,왕십리,1.0,신당,1.0
9.0,신설동,1,하선,51.7,other,30,왕십리,1.0,신당,1.0
9.5,신설동,1,상선,28.6,other,30,왕십리,1.0,신당,1.0
9.5,신설동,1,하선,37.9,other,30,왕십리,1.0,신당,1.0
10.0,신설동,1,상선,19.3,other,30,왕십리,1.0,신당,1.0
10.0,신설동,1,하선,33.4,other,30,왕십리,1.0,신당,1.0
10.5,신설동,1,상선,26.2,other,30,왕십리,1.0,신당,1.0
10.5,신설동,1,하선,26.9,other,30,왕십리,1.0,신당,1.0
11.0,신설동,1,상선,26.2,other,30,왕십리,1.0,신당,1.0
11.0,신설동,1,하선,27.8,other,30,왕십리,1.0,신당,1.0
11.5,신설동,1,상선,19.7,other,30,왕십리,1.0,신당,1.0
11.5,신설동,1,하선,25.8,other,30,왕십리,1.0,신당,1.0
12.0,신설동,1,상선,23.6,other,30,왕십리,1.0,신당,1.0
12.0,신설동,1,하선,27.2,other,30,왕십리,1.0,신당,1.0
12.5,신설동,1,상선,26.2,other,30,왕십리,1.0,신당,1.0
12.5,신설동,1,하선,34.9,other,30,왕십리,1.0,신당,1.0
13.0,신설동,1,상선,31.3,other,30,왕십리,1.0,신당,1.0
13.0,신설동,1,하선,24.7,other,30,왕십리,1.0,신당,1.0
13.5,신설동,1,상선,27.0,other,30,왕십리,1.0,신당,1.0
13.5,신설동,1,하선,32.4,other,30,왕십리,1.0,신당,1.0
14.0,신설동,1,상선,25.9,other,30,왕십리,1.0,신당,1.0
14.0,신설동,1,하선,22.2,other,30,왕십리,1.0,신당,1.0
14.5,신설동,1,상선,25.2,other,30,왕십리,1.0,신당,1.0
14.5,신설동,1,하선,31.1,other,30,왕십리,1.0,신당,1.0
15.0,신설동,1,상선,31.5,other,30,왕십리,1.0,신당,1.0
15.0,신설동,1,하선,29.7,other,30,왕십리,1.0,신당,1.0
15.5,신설동,1,상선,29.8,other,30,왕십리,1.0,신당,1.0
15.5,신설동,1,하선,36.1,other,30,왕십리,1.0,신당,1.0
16.0,신설동,1,상선,37.5,other,30,왕십리,1.0,신당,1.0
16.0,신설동,1,하선,24.0,other,30,왕십리,1.0,신당,1.0
16.5,신설동,1,상선,33.0,other,30,왕십리,1.0,신당,1.0
16.5,신설동,1,하선,41.0,other,30,왕십리,1.0,신당,1.0
17.0,신설동,1,상선,41.3,other,30,왕십리,1.0,신당,1.0
17.0,신설동,1,하선,34.6,other,30,왕십리,1.0,신당,1.0
17.5,신설동,1,상선,55.5,other,30,왕십리,1.0,신당,1.0
17.5,신설동,1,하선,33.2,other,30,왕십리,1.0,신당,1.0
18.0,신설동,1,상선,73.1,other,30,왕십리,1.0,신당,1.0
18.0,신설동,1,하선,39.9,other,30,왕십리,1.0,신당,1.0
18.5,신설동,1,상선,72.8,other,30,왕십리,1.0,신당,1.0
18.5,신설동,1,하선,22.6,other,30,왕십리,1.0,신당,1.0
19.0,신설동,1,상선,44.9,other,30,왕십리,1.0,신당,1.0
19.0,신설동,1,하선,17.3,other,30,왕십리,1.0,신당,1.0
19.5,신설동,1,상선,34.2,other,30,왕십리,1.0,신당,1.0
19.5,신설동,1,하선,15.4,other,30,왕십리,1.0,신당,1.0
20.0,신설동,1,상선,30.7,other,30,왕십리,1.0,신당,1.0
20.0,신설동,1,하선,13.8,other,30,왕십리,1.0,신당,1.0
20.5,신설동,1,상선,26.8,other,30,왕십리,1.0,신당,1.0
20.5,신설동,1,하선,12.3,other,30,왕십리,1.0,신당,1.0
21.0,신설동,1,상선,36.3,other,30,왕십리,1.0,신당,1.0
21.0,신설동,1,하선,14.5,other,30,왕십리,1.0,신당,1.0
21.5,신설동,1,상선,28.6,other,30,왕십리,1.0,신당,1.0
21.5,신설동,1,하선,11.3,other,30,왕십리,1.0,신당,1.0
22.0,신설동,1,상선,26.6,other,30,왕십리,1.0,신당,1.0
22.0,신설동,1,하선,11.9,other,30,왕십리,1.0,신당,1.0
22.5,신설동,1,상선,26.1,other,30,왕십리,1.0,신당,1.0
22.5,신설동,1,하선,8.8,other,30,왕십리,1.0,신당,1.0
