요일구분,호선,역명,상하구분,시간대,혼잡도,시간
평일,1,청량리,상선,5시30분,7.2,5.5
평일,1,제기동,상선,5시30분,7.6,5.5
평일,1,신설동,상선,5시30분,6.7,5.5
평일,1,동묘앞,상선,5시30분,6.3,5.5
평일,1,동대문,상선,5시30분,7.4,5.5
평일,1,종로5가,상선,5시30분,5.1,5.5
평일,1,종로3가,상선,5시30분,5.6,5.5
평일,1,종각,상선,5시30분,6.4,5.5
평일,1,시청,상선,5시30분,7.0,5.5
평일,1,서울역,상선,5시30분,7.3,5.5
평일,1,청량리,하선,5시30분,20.3,5.5
평일,1,제기동,하선,5시30분,20.6,5.5
평일,1,신설동,하선,5시30분,21.4,5.5
평일,1,동묘앞,하선,5시30분,14.4,5.5
평일,1,동대문,하선,5시30분,13.5,5.5
평일,1,종로5가,하선,5시30분,13.0,5.5
평일,1,종로3가,하선,5시30분,11.8,5.5
평일,1,종각,하선,5시30분,9.8,5.5
평일,1,시청,하선,5시30분,9.2,5.5
평일,1,서울역,하선,5시30분,11.4,5.5
평일,2,뚝섬,외선,5시30분,8.5,5.5
평일,2,한양대,외선,5시30분,10.7,5.5
평일,2,왕십리,외선,5시30분,14.3,5.5
평일,2,상왕십리,외선,5시30분,16.2,5.5
평일,2,신당,외선,5시30분,18.4,5.5
평일,2,동대문역사문화공원,외선,5시30분,14.8,5.5
평일,2,을지로4가,외선,5시30분,14.9,5.5
평일,2,을지로3가,외선,5시30분,14.6,5.5
평일,2,을지로입구,외선,5시30분,9.5,5.5
평일,2,시청,외선,5시30분,9.8,5.5
평일,2,충정로,외선,5시30분,10.2,5.5
평일,2,아현,외선,5시30분,12.0,5.5
평일,2,이대,외선,5시30분,13.0,5.5
평일,2,신촌(지하),외선,5시30분,14.3,5.5
평일,2,홍대입구,외선,5시30분,13.2,5.5
평일,2,합정,외선,5시30분,22.5,5.5
평일,2,당산,외선,5시30분,18.7,5.5
평일,2,영등포구청,외선,5시30분,22.6,5.5
평일,2,문래,외선,5시30분,24.1,5.5
평일,2,신도림,외선,5시30분,24.1,5.5
평일,2,대림,외선,5시30분,31.2,5.5
평일,2,구로디지털단지,외선,5시30분,38.9,5.5
평일,2,신대방,외선,5시30분,48.1,5.5
평일,2,신림,외선,5시30분,63.6,5.5
평일,2,봉천,외선,5시30분,69.6,5.5
평일,2,서울대입구,외선,5시30분,72.0,5.5
평일,2,낙성대,외선,5시30분,76.4,5.5
평일,2,사당,외선,5시30분,83.1,5.5
평일,2,방배,외선,5시30분,81.7,5.5
평일,2,서초,외선,5시30분,78.5,5.5
평일,2,교대,외선,5시30분,74.7,5.5
평일,2,강남,외선,5시30분,59.2,5.5
